Reg,Regulator,TargetGene,Weight,Module,RegulatorBiotype,TargetBiotype
YDL232W_snR39,YDL232W,snR39,0.132576915543858,3,protein_coding,snoRNA
YDL232W_snR79,YDL232W,snR79,0.12899165827117,3,protein_coding,snoRNA
snR18_YEL032C-A,snR18,YEL032C-A,0.115073226097754,3,snoRNA,protein_coding
snR18_snR39,snR18,snR39,0.124896372039276,3,snoRNA,snoRNA
YML129C_snR77,YML129C,snR77,0.102712310450303,3,protein_coding,snoRNA
YEL008C-A_YDL232W,YEL008C-A,YDL232W,0.126756336712567,3,protein_coding,protein_coding
YEL008C-A_YJR151W-A,YEL008C-A,YJR151W-A,0.127787556626377,3,protein_coding,protein_coding
YKL156C-A_snR79,YKL156C-A,snR79,0.173828695150765,3,protein_coding,snoRNA
tV(AAC)O_YEL032C-A,tV(AAC)O,YEL032C-A,0.158187279754768,3,tRNA,protein_coding
tV(AAC)O_YDL184C,tV(AAC)O,YDL184C,0.103244392200938,3,tRNA,protein_coding
tV(AAC)O_YMR272W-A,tV(AAC)O,YMR272W-A,0.126322771966644,3,tRNA,protein_coding
tV(AAC)O_YJR151W-A,tV(AAC)O,YJR151W-A,-0.136913067526551,3,tRNA,protein_coding
tV(AAC)O_snR79,tV(AAC)O,snR79,-0.184475628206162,3,tRNA,snoRNA
YDL184C_tV(AAC)O,YDL184C,tV(AAC)O,0.107790542204464,3,protein_coding,tRNA
YMR272W-A_YEL032C-A,YMR272W-A,YEL032C-A,0.112680307648656,3,protein_coding,protein_coding
YMR272W-A_snR77,YMR272W-A,snR77,0.137908949351572,3,protein_coding,snoRNA
YMR272W-A_tV(AAC)O,YMR272W-A,tV(AAC)O,0.12680046550014,3,protein_coding,tRNA
snR67_snR79,snR67,snR79,0.113738808557069,3,snoRNA,snoRNA
YMR182W-A_snR79,YMR182W-A,snR79,0.121534673935586,3,protein_coding,snoRNA
YJR151W-A_snR77,YJR151W-A,snR77,-0.207562051267135,3,protein_coding,snoRNA
YJR151W-A_YDL232W,YJR151W-A,YDL232W,0.201648177130128,3,protein_coding,protein_coding
YJR151W-A_YEL008C-A,YJR151W-A,YEL008C-A,0.12426271482221,3,protein_coding,protein_coding
YJR151W-A_tV(AAC)O,YJR151W-A,tV(AAC)O,-0.146468930828765,3,protein_coding,tRNA
YBR141W-A_YDL232W,YBR141W-A,YDL232W,0.149220803737988,3,protein_coding,protein_coding
YER053C-A_snR77,YER053C-A,snR77,0.100100556749144,3,protein_coding,snoRNA
snR39_YEL032C-A,snR39,YEL032C-A,0.104274759603146,3,snoRNA,protein_coding
snR39_YDL232W,snR39,YDL232W,0.139291867679617,3,snoRNA,protein_coding
snR39_snR18,snR39,snR18,0.119495715530745,3,snoRNA,snoRNA
snR39_YHL015W-A,snR39,YHL015W-A,0.118371124797398,3,snoRNA,protein_coding
YHL015W-A_snR39,YHL015W-A,snR39,0.120017042127425,3,protein_coding,snoRNA
snR79_YGR068W-A,snR79,YGR068W-A,0.10318013613426,3,snoRNA,protein_coding
snR79_YDL232W,snR79,YDL232W,0.124883535722173,3,snoRNA,protein_coding
snR79_snR76,snR79,snR76,0.119986575084654,3,snoRNA,snoRNA
snR79_YKL156C-A,snR79,YKL156C-A,0.181163318540323,3,snoRNA,protein_coding
snR79_tV(AAC)O,snR79,tV(AAC)O,-0.188423747964136,3,snoRNA,tRNA
snR79_YDL133C-A,snR79,YDL133C-A,0.103413599880347,3,snoRNA,protein_coding
snR79_snR67,snR79,snR67,0.113579065711468,3,snoRNA,snoRNA
snR79_YMR182W-A,snR79,YMR182W-A,0.130039151623534,3,snoRNA,protein_coding
snR79_YLR299C-A,snR79,YLR299C-A,0.115919153348345,3,snoRNA,protein_coding
YEL032C-A_snR18,YEL032C-A,snR18,0.130829906588649,4,protein_coding,snoRNA
YEL032C-A_tV(AAC)O,YEL032C-A,tV(AAC)O,0.177720500378381,4,protein_coding,tRNA
YEL032C-A_YMR272W-A,YEL032C-A,YMR272W-A,0.128841363645958,4,protein_coding,protein_coding
YEL032C-A_YOR302W,YEL032C-A,YOR302W,0.100224894672342,4,protein_coding,protein_coding
YEL032C-A_snR39,YEL032C-A,snR39,0.146323351826725,4,protein_coding,snoRNA
snR77_tV(AAC)O,snR77,tV(AAC)O,0.154809634674105,4,snoRNA,tRNA
snR77_YMR272W-A,snR77,YMR272W-A,0.132072205874703,4,snoRNA,protein_coding
snR77_YJR151W-A,snR77,YJR151W-A,-0.163201670673844,4,snoRNA,protein_coding
YDL232W_YEL008C-A,YDL232W,YEL008C-A,0.107690750186512,4,protein_coding,protein_coding
YDL232W_YJR151W-A,YDL232W,YJR151W-A,0.178996276830449,4,protein_coding,protein_coding
YDL232W_YBR141W-A,YDL232W,YBR141W-A,0.153441438658193,4,protein_coding,protein_coding
YDL232W_snR39,YDL232W,snR39,0.138209287300002,4,protein_coding,snoRNA
YDL232W_snR79,YDL232W,snR79,0.144828480415262,4,protein_coding,snoRNA
snR18_YEL032C-A,snR18,YEL032C-A,0.127006787338682,4,snoRNA,protein_coding
snR18_snR39,snR18,snR39,0.14927955524917,4,snoRNA,snoRNA
snR87_snR39,snR87,snR39,0.126625258445613,4,snoRNA,snoRNA
