Reg,Weight,Module,Regulator,TargetGene
RNU5A-1_RACK1,-0.0221966253879087,L4,RNU5A-1,RACK1
RNU5A-1_SNORD102,-0.144135921586373,L4,RNU5A-1,SNORD102
RNU5A-1_MT-TF,0.119061371367192,L4,RNU5A-1,MT-TF
RNU5A-1_MT-RNR2,0.217151771793918,L4,RNU5A-1,MT-RNR2
RNU5A-1_MT-TN,0.195249834310936,L4,RNU5A-1,MT-TN
RNU5A-1_SNORD66,0.0323812756612291,L4,RNU5A-1,SNORD66
RNU5A-1_MT-ND4L,-0.261487052341676,L4,RNU5A-1,MT-ND4L
RNU5A-1_RPS29,-0.0205971617668447,L4,RNU5A-1,RPS29
RNU5A-1_MT-ATP8,-0.0550518182861748,L4,RNU5A-1,MT-ATP8
RNU5A-1_RPL41,-0.0794798007542456,L4,RNU5A-1,RPL41
RNU5A-1_lncRNA-rRPPH1,-1.0,L4,RNU5A-1,lncRNA-rRPPH1
RNU5A-1_SNORD96A,0.207523886956213,L4,RNU5A-1,SNORD96A
RNU5A-1_H2BC17,-0.0204510578664659,L4,RNU5A-1,H2BC17
RNU5A-1_H2BC7,-0.0356372821126947,L4,RNU5A-1,H2BC7
RNU5A-1_H3C7,-0.0220641359098598,L4,RNU5A-1,H3C7
RNU5A-1_RN7SL3,-0.0311499602862793,L4,RNU5A-1,RN7SL3
MT-TL1_RNU5A-1,0.555854250591244,L4,MT-TL1,RNU5A-1
MT-TL1_lncRNA-rRPPH1,-0.482854768551914,L4,MT-TL1,lncRNA-rRPPH1
MT-RNR2_RARRES1,0.0491495229567168,L4,MT-RNR2,RARRES1
MT-RNR2_ERBB2,0.0181461157599151,L4,MT-RNR2,ERBB2
MT-RNR2_MT-RNR1,0.612322858441771,L4,MT-RNR2,MT-RNR1
MT-ND4L_lncRNA-rRPPH1,0.249414974363611,L4,MT-ND4L,lncRNA-rRPPH1
SNORD56_RNU5A-1,0.186473330398726,L4,SNORD56,RNU5A-1
lncRNA-rRPPH1_FTL,0.0532521648174233,L4,lncRNA-rRPPH1,FTL
lncRNA-rRPPH1_RPLP0,0.0479499985101983,L4,lncRNA-rRPPH1,RPLP0
lncRNA-rRPPH1_RPS19,0.020159728939215,L4,lncRNA-rRPPH1,RPS19
lncRNA-rRPPH1_RPL19,0.020375419557396,L4,lncRNA-rRPPH1,RPL19
lncRNA-rRPPH1_GAPDH,0.0237809818944184,L4,lncRNA-rRPPH1,GAPDH
lncRNA-rRPPH1_RPL24,0.0186366829380005,L4,lncRNA-rRPPH1,RPL24
lncRNA-rRPPH1_RPL23,0.128471969149219,L4,lncRNA-rRPPH1,RPL23
lncRNA-rRPPH1_RPL27,0.0204757731806089,L4,lncRNA-rRPPH1,RPL27
lncRNA-rRPPH1_KRT7,0.0157917225642379,L4,lncRNA-rRPPH1,KRT7
lncRNA-rRPPH1_RPS6,0.0297656026082419,L4,lncRNA-rRPPH1,RPS6
lncRNA-rRPPH1_RPS2,0.0208584913839422,L4,lncRNA-rRPPH1,RPS2
lncRNA-rRPPH1_RPS3,0.0297467214394013,L4,lncRNA-rRPPH1,RPS3
lncRNA-rRPPH1_EEF1A1,0.0501633303945992,L4,lncRNA-rRPPH1,EEF1A1
lncRNA-rRPPH1_RPS14,0.0394334994318736,L4,lncRNA-rRPPH1,RPS14
lncRNA-rRPPH1_EEF2,0.0284608964517756,L4,lncRNA-rRPPH1,EEF2
lncRNA-rRPPH1_KRT8,0.0386125975883414,L4,lncRNA-rRPPH1,KRT8
lncRNA-rRPPH1_RPS21,0.0219115962381441,L4,lncRNA-rRPPH1,RPS21
lncRNA-rRPPH1_RPS7,0.0449212069163346,L4,lncRNA-rRPPH1,RPS7
lncRNA-rRPPH1_RPL15,0.0197314959239723,L4,lncRNA-rRPPH1,RPL15
lncRNA-rRPPH1_ACTG1,0.0405952242598419,L4,lncRNA-rRPPH1,ACTG1
lncRNA-rRPPH1_RPS23,0.0183715322825981,L4,lncRNA-rRPPH1,RPS23
lncRNA-rRPPH1_PPIA,0.0238653776548608,L4,lncRNA-rRPPH1,PPIA
lncRNA-rRPPH1_H4C3,0.0285693008631647,L4,lncRNA-rRPPH1,H4C3
lncRNA-rRPPH1_S100A6,0.0237732558722854,L4,lncRNA-rRPPH1,S100A6
lncRNA-rRPPH1_VTRNA1-1,-0.0401144629686836,L4,lncRNA-rRPPH1,VTRNA1-1
lncRNA-rRPPH1_RACK1,0.0208820864438408,L4,lncRNA-rRPPH1,RACK1
lncRNA-rRPPH1_SNORD102,0.130407559180814,L4,lncRNA-rRPPH1,SNORD102
lncRNA-rRPPH1_MT-TF,-0.104403982683753,L4,lncRNA-rRPPH1,MT-TF
