Reg,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7
YDL061C_YPL271W,0.0,0.0124430030827226,0.0136016523994318,0.0,0.0,0.0,0.0
YML129C_snR77,0.0,0.0898503944315969,0.102712310450303,0.0875713676215083,0.0776464983161523,0.0,0.0
YML129C_YDR276C,0.0,0.0311279899314703,0.0316090071056147,0.0339268407238651,0.0446753513264621,0.0,0.0
snR64_YDR461W,0.0,0.0136081741008959,0.0145966924110404,0.0,0.0,0.0,0.0
snR64_snR39B,0.0,0.0484296345004903,0.0416360259369096,0.0,0.0,0.0,0.0248761046529231
snR128_snR161,0.0,0.0121213494795198,0.010932008581127,0.0,0.0,0.0,0.0
snR128_snR40,0.0,0.0312444783187255,0.0376635745559175,0.028779640385867,0.0201421498026824,0.0,0.0
snR128_YJL136C,0.0,0.0117576694508419,0.0105685248562579,0.0,0.0,0.0,0.0
snR128_snR85,0.0,0.0280668385515055,0.0219963041890591,0.0,0.0,0.0,0.0
YDL184C_snR65,0.0,0.0332193761785478,0.0309484161733348,0.0,0.0,0.0,0.0
snR58_snR87,0.0,0.0242049253576804,0.0278631120170674,0.0,0.0,0.0,0.0
snR40_YJL205C,0.0,0.0186373145365553,0.0244402345753253,0.0,0.0135043864301848,0.0162877547521919,0.0139819458693279
snR40_snR18,0.0,0.0511377522136814,0.0629662183256472,0.0,0.0354519195788949,0.0,0.0
snR40_snR69,0.0,0.0215496781501083,0.0250148974260719,0.0,0.0,0.0,0.0
snR40_snR161,0.0,0.0095585326205671,0.0115013972558534,0.0,0.0,0.0,0.0
snR40_snR128,0.0,0.0303773518812901,0.0359222218788075,0.0281988417797353,0.0198185946466653,0.0,0.0249291309230885
snR40_YDR476C,0.0,0.0086809216908593,0.010092517118097,0.0,0.0,0.0,0.0086766394551191
snR40_YLR264W,0.0,0.0156011582933785,0.0171918595849722,0.0,0.0118427321199523,0.0,0.0114956156595855
snR40_YPL251W,0.0,0.0082800562973124,0.0109007770378009,0.0,0.0,0.0,0.006733882387517
snR40_YJL136C,0.0,0.0094113207549888,0.0112922059903921,0.0,0.0,0.007404211497284,0.0067116946756959
snR40_snR85,0.0,0.0215663844446076,0.0237472146450607,0.0,0.0131422117933668,0.0168440536773192,0.0147325814404286
snR38_snR60,0.0,0.0120704131149581,0.011872538587954,0.0,0.0,0.0,0.0
snR38_snR72,0.0,0.0153135174012008,0.015561983762129,0.0,0.0,0.0,0.0
YOR302W_YBR252W,0.0,0.0099999261442956,0.0109992594916861,0.0,0.0123406966303494,0.0,0.0
YOR302W_YLR062C,0.0,0.010806711330393,0.0119974068593884,0.0,0.0137003763249898,0.0,0.0
YOR302W_YGR063C,0.0,0.0104492841363551,0.0115520876963535,0.0,0.0,0.014889737694708,0.0
YOR302W_YDL061C,0.0,0.0340381066102165,0.0396270550404834,0.0429413519988687,0.0467860797970947,0.0,0.0
YOR302W_YPL136W,0.0,0.0110431553806563,0.0116917046228844,0.0,0.0,0.0,0.0
YOR302W_snR75,0.0,0.0151070355330204,0.0183365394221421,0.0,0.0232242435969592,0.0,0.0
YOR302W_YOR146W,0.0,0.0092354173126972,0.0106569319065365,0.0,0.0,0.0,0.0
YOR302W_snR13,0.0,0.0126281510796583,0.0139841375596231,0.0155447217415155,0.0162104292525101,0.0,0.0
YOR302W_YLR185W,0.0,0.0144355406341914,0.01562754040307,0.0,0.0181267597333221,0.0,0.0
YOR302W_YMR256C,0.0,0.0110793638943793,0.0115881103833193,0.0,0.0,0.0215475685959889,0.0367902466146137
YOR302W_YGR105W,0.0,0.0130535415581787,0.0147146413310606,0.0,0.0177372916088763,0.0,0.0
YOR302W_YPL271W,0.0,0.0138616595358134,0.0155401629772961,0.0,0.0,0.0182839665699424,0.0
YKR057W_snR85,0.0,0.0216022409392481,0.0186883745938687,0.0,0.0,0.0,0.0
YJL136C_snR87,0.0,0.0119667453311455,0.0125376355576581,0.0,0.0052888373691212,0.0073058706830531,0.0054469696807208
snR39_YBR082C,0.0,0.0114094300920684,0.0107912092242189,0.0,0.0,0.0,0.0
snR39_YPR052C,0.0,0.0125778217257406,0.0132473731947623,0.0096661296086373,0.0,0.0,0.0
snR39_YPL142C,0.0,0.0154723041396507,0.016882221202009,0.017556293409639,0.0,0.0,0.0
snR39_YER009W,0.0,0.0119966293146413,0.0114330246581817,0.0,0.0,0.0,0.0
snR39_YDL232W,0.0,0.150597434331763,0.139291867679617,0.15345308464936,0.210629688473001,0.201356007988435,0.217614469654282
snR39_YJL191W,0.0,0.0128363481770946,0.0116628870262178,0.0,0.0,0.0,0.0
snR39_snR9,0.0,0.0113769695176895,0.0112504115084838,0.0,0.0,0.0,0.0
snR39_snR161,0.0,0.0221706792506034,0.0224735342932815,0.0,0.0,0.0,0.0
snR39_snR71,0.0,0.0139259994477132,0.0202284037212384,0.0190478943814806,0.0,0.0,0.0
snR39_snR58,0.0,0.0428207378872399,0.0505751880894293,0.0494920039108007,0.0,0.0,0.0
snR39_YLR388W,0.0,0.0425515986945097,0.0441053896209191,0.0465995338158411,0.0,0.0,0.0
snR39_YNL015W,0.0,0.016660881277589,0.0171787504596705,0.0158964649777947,0.0,0.0211900251140159,0.0
snR39_snR46,0.0,0.0187948272346032,0.0179411234571448,0.0142625889484498,0.0,0.0,0.0
snR39_YGR183C,0.0,0.0210046257863957,0.0227369521986036,0.0160929953705114,0.0,0.0,0.0
snR39_YOL005C,0.0,0.0160847390136512,0.0160126831514361,0.0,0.0,0.0,0.0
snR39_YDR115W,0.0,0.0137984618451293,0.0144983061537676,0.0149996506752166,0.0,0.0,0.0
snR39_YGR242W,0.0,0.0105218113862321,0.0109666976405881,0.009786648559331,0.0,0.0,0.0
snR39_snR85,0.0,0.0529226727477951,0.0471758980930348,0.0,0.0,0.0,0.0
